Hostname,Label,Vod,Live,Situação
gca-net-bsb001,edge-claro-bsb-df,vod-01.edge-claro-bsb-df.video.globo.com,live-01.edge-claro-bsb-df.video.globo.com,Desativado
gca-aranet-toaux001,edge-aranet-aux-to,vod-01.edge-aranet-aux-to.video.globo.com,live-01.edge-aranet-aux-to.video.globo.com,Produção
gca-net-bsb002,edge-claro-bsb-df,vod-02.edge-claro-bsb-df.video.globo.com,live-02.edge-claro-bsb-df.video.globo.com,Desativado
gca-net-sne001,edge-claro-sne-sp,vod-01.edge-claro-sne-sp.video.globo.com,live-01.edge-claro-sne-sp.video.globo.com,Produção
gca-net-sne002_old,edge-claro-sne-sp,vod-02.edge-claro-sne-sp.video.globo.com,live-02.edge-claro-sne-sp.video.globo.com,Desativado
gca-net-rbr001,edge-claro-rao-sp,vod-01.edge-claro-rao-sp.video.globo.com,live-01.edge-claro-rao-sp.video.globo.com,Produção
gca-net-fln001,edge-claro-fln-sc,vod-01.edge-claro-fln-sc.video.globo.com,live-01.edge-claro-fln-sc.video.globo.com,Produção
gca-net-vix001,edge-claro-vix-es,vod-01.edge-claro-vix-es.video.globo.com,live-01.edge-claro-vix-es.video.globo.com,Produção
gca-net-sposa001,edge-claro-osa-sp,vod-01.edge-claro-osa-sp.video.globo.com,live-01.edge-claro-osa-sp.video.globo.com,Produção
gca-net-spsor001,edge-claro-sor-sp,vod-01.edge-claro-sor-sp.video.globo.com,live-01.edge-claro-sor-sp.video.globo.com,Produção
gca-net-spsts001,edge-claro-sts-sp,vod-01.edge-claro-sts-sp.video.globo.com,live-01.edge-claro-sts-sp.video.globo.com,Produção
gca-net-spsdai001,edge-claro-sda-sp,vod-01.edge-claro-sda-sp.video.globo.com,live-01.edge-claro-sda-sp.video.globo.com,Produção
gca-net-spsjk001,edge-claro-sjk-sp,vod-01.edge-claro-sjk-sp.video.globo.com,live-01.edge-claro-sjk-sp.video.globo.com,Produção
gca-invista-spsnl001,edge-invista-snl-sp,vod-01.edge-invista-snl-sp.video.globo.com,live-01.edge-invista-snl-sp.video.globo.com,Produção
gca-tuddo-mgesz001,edge-tuddo-esz-mg,vod-01.edge-tuddo-esz-mg.video.globo.com,live-01.edge-tuddo-esz-mg.video.globo.com,Produção
gca-tuddo-rjpn001,edge-tuddo-pnc-rj,vod-01.edge-tuddo-pnc-rj.video.globo.com,live-01.edge-tuddo-pnc-rj.video.globo.com,Produção
